0;27;1009.5;0
0;28;1010;4
4;30;1010;9
9;30.8;1009.5;6
6;31.6;1008.7;1
1;32.4;1008;12
12;32.4;1007;1
1;32.6;1005.8;1
1;33;1005.5;7
7;32.6;1005.5;5
5;32;1005.7;6
6;31.4;1005.9;6
6;30.2;1006.1;4
4;29.7;1008.2;0
0;28.3;1009;18
18;25.9;1009.6;4
4;25.7;1009.6;0
0;26.1;1009.5;0
0;26.2;1008.8;0
0;26.2;1008.5;0
0;26;1008;0
0;26;1008.2;0
0;25.6;1008;0
0;26.1;1008.7;4
4;26.8;1009.2;5
5;27.6;1010;4
4;29;1009.9;1
1;31;1009.4;8
8;31.4;1008.9;1
1;32.4;1007.6;7
7;32.4;1006.9;7
7;32.6;1006.1;8
8;32.4;1005.7;8
8;31.4;1005.9;6
6;30.8;1006.1;3
3;30.4;1006.6;5
5;29.6;1007;3
3;29;1008.1;3
3;28.8;1008.7;0
0;28.8;1008.9;0
0;28.6;1009.1;0
0;28.6;1008.8;0
0;28.4;1008.3;0
0;28;1008.1;0
0;27.6;1007.9;0
0;27.2;1007.7;2
2;27;1007.8;2
2;27;1008;0
0;27.2;1008.3;4
4;29.2;1009.7;6
6;30.2;1010;6
6;31;1009.5;7
7;31.8;1008.4;6
6;32;1007.8;5
5;32.6;1006.8;9
9;33.2;1006.2;6
6;33.2;1006.1;7
7;33;1006.2;6
6;32;1006.4;7
7;31.4;1007.1;5
5;30.4;1008.6;0
0;29.6;1009;0
0;29.2;1009.8;0
0;29;1010;0
0;28.6;1009.7;0
0;28.2;1009.5;0
0;28;1009.2;0
0;27.8;1009.1;0
0;27.6;1008.8;0
0;27.4;1008.6;3
3;27.4;1008.8;3
3;27.2;1009.2;3
3;27.2;1009.7;4
4;28.9;1010.2;5
5;30;1010.7;7
7;31.9;1009.6;7
7;32.3;1009.1;7
7;32.6;1008.1;9
9;33.4;1008;7
7;33.6;1007;9
9;32.3;1006.6;5
5;31.7;1006.7;5
5;31.4;1007.5;7
7;27.4;1008.6;4
4;26.7;1009.2;0
0;27.6;1010;2
2;28;1009.8;0
0;28;1009.8;0
0;28;1009.8;0
0;27.5;1009.2;0
0;27.2;1008.8;0
0;26.9;1008.2;0
0;26.9;1007.6;0
0;26.5;1008;2
2;26.4;1008.5;2
2;26.6;1008.8;3
3;27.4;1009.4;2
2;28.8;1009.8;6
6;30;1009.7;6
6;31.2;1009.7;1
1;31.4;1009.2;6
6;32.4;1008.4;7
7;33.3;1007.3;6
